#Canon Classes (un-obfuscated)
method_1787,SDL_GetTicks
method_1788,SDL_GetPerformanceCounter
method_1789,SDL_GetPerformanceFrequency
method_1790,SDL_AddTimer
method_1791,SDL_RemoveTimer
method_1792,SDL_GetWindowWMInfo
method_1793,SDL_GetBasePath
method_1794,SDL_GetPrefPath
method_1795,SDL_GetPowerInfo
method_1796,SDL_GetCPUCount
method_1797,SDL_GetSystemRAM

field_2958,SDL_INIT_TIMER
field_2959,SDL_INIT_AUDIO
field_2960,SDL_INIT_VIDEO
field_2961,SDL_INIT_JOYSTICK
field_2962,SDL_INIT_HAPTIC
field_2963,SDL_INIT_GAMECONTROLLER
field_2964,SDL_INIT_NOPARACHUTE
field_2965,SDL_INIT_EVERYTHING
field_2966,SDL_HINT_FRAMEBUFFER_ACCELERATION
field_2967,SDL_HINT_RENDER_DRIVER
field_2968,SDL_HINT_RENDER_OPENGL_SHADERS
field_2969,SDL_HINT_RENDER_DIRECT3D_THREADSAFE
field_2970,SDL_HINT_RENDER_VSYNC
field_2971,SDL_HINT_VIDEO_X11_XVIDMODE
field_2972,SDL_HINT_VIDEO_X11_XINERAMA
field_2973,SDL_HINT_VIDEO_X11_XRANDR
field_2974,SDL_HINT_GRAB_KEYBOARD
field_2975,SDL_HINT_VIDEO_MINIMIZE_ON_FOCUS_LOSS
field_2976,SDL_HINT_IDLE_TIMER_DISABLED
field_2977,SDL_HINT_ORIENTATIONS
field_2978,SDL_HINT_XINPUT_ENABLED
field_2979,SDL_HINT_GAMECONTROLLERCONFIG
field_2980,SDL_HINT_JOYSTICK_ALLOW_BACKGROUND_EVENTS
field_2981,SDL_HINT_ALLOW_TOPMOST
field_2982,SDL_HINT_TIMER_RESOLUTION
field_2983,SDL_HINT_RENDER_SCALE_QUALITY
field_2984,SDL_HINT_VIDEO_HIGHDPI_DISABLED
field_2985,SDL_HINT_CTRL_CLICK_EMULATE_RIGHT_CLICK
field_2986,SDL_HINT_VIDEO_WIN_D3DCOMPILER
field_2987,SDL_HINT_MOUSE_RELATIVE_MODE_WARP
field_2988,SDL_HINT_VIDEO_WINDOW_SHARE_PIXEL_FORMAT
field_2989,SDL_HINT_VIDEO_ALLOW_SCREENSAVER
field_2990,SDL_HINT_ACCELEROMETER_AS_JOYSTICK
field_2991,SDL_HINT_VIDEO_MAC_FULLSCREEN_SPACES
field_2992,SDL_HINT_NO_SIGNAL_HANDLERS
field_2993,SDL_HINT_IME_INTERNAL_EDITING
field_2994,SDL_HINT_ANDROID_SEPARATE_MOUSE_AND_TOUCH
field_2995,SDL_HINT_EMSCRIPTEN_KEYBOARD_ELEMENT
field_2996,SDL_HINT_THREAD_STACK_SIZE
field_2997,SDL_HINT_WINDOW_FRAME_USABLE_WHILE_CURSOR_HIDDEN
field_2998,SDL_HINT_WINDOWS_ENABLE_MESSAGELOOP
field_2999,SDL_HINT_WINDOWS_NO_CLOSE_ON_ALT_F4
field_3000,SDL_HINT_XINPUT_USE_OLD_JOYSTICK_MAPPING
field_3001,SDL_HINT_MAC_BACKGROUND_APP
field_3002,SDL_HINT_VIDEO_X11_NET_WM_PING
field_3003,SDL_HINT_ANDROID_APK_EXPANSION_MAIN_FILE_VERSION
field_3004,SDL_HINT_ANDROID_APK_EXPANSION_PATCH_FILE_VERSION
field_3005,SDL_LOG_CATEGORY_APPLICATION
field_3006,SDL_LOG_CATEGORY_ERROR
field_3007,SDL_LOG_CATEGORY_ASSERT
field_3008,SDL_LOG_CATEGORY_SYSTEM
field_3009,SDL_LOG_CATEGORY_AUDIO
field_3010,SDL_LOG_CATEGORY_VIDEO
field_3011,SDL_LOG_CATEGORY_RENDER
field_3012,SDL_LOG_CATEGORY_INPUT
field_3013,SDL_LOG_CATEGORY_TEST
field_3014,SDL_LOG_CATEGORY_RESERVED1
field_3015,SDL_LOG_CATEGORY_RESERVED2
field_3016,SDL_LOG_CATEGORY_RESERVED3
field_3017,SDL_LOG_CATEGORY_RESERVED4
field_3018,SDL_LOG_CATEGORY_RESERVED5
field_3019,SDL_LOG_CATEGORY_RESERVED6
field_3020,SDL_LOG_CATEGORY_RESERVED7
field_3021,SDL_LOG_CATEGORY_RESERVED8
field_3022,SDL_LOG_CATEGORY_RESERVED9
field_3023,SDL_LOG_CATEGORY_RESERVED10
field_3024,SDL_LOG_CATEGORY_CUSTOM
field_3025,SDL_MAJOR_VERSION
field_3026,SDL_MINOR_VERSION
field_3027,SDL_PATCHLEVEL
field_3028,SDL_COMPILEDVERSION
field_3029,SDL_WINDOWPOS_UNDEFINED_MASK
field_3030,SDL_WINDOWPOS_CENTERED_MASK
field_3031,SDL_WINDOWPOS_UNDEFINED
field_3032,SDL_WINDOWPOS_CENTERED
field_3033,SDL_PIXELFORMAT_UNKNOWN
field_3034,SDL_PIXELFORMAT_INDEX1LSB
field_3035,SDL_PIXELFORMAT_INDEX1MSB
field_3036,SDL_PIXELFORMAT_INDEX4LSB
field_3037,SDL_PIXELFORMAT_INDEX4MSB
field_3038,SDL_PIXELFORMAT_INDEX8
field_3039,SDL_PIXELFORMAT_RGB332
field_3040,SDL_PIXELFORMAT_RGB444
field_3041,SDL_PIXELFORMAT_RGB555
field_3042,SDL_PIXELFORMAT_BGR555
field_3043,SDL_PIXELFORMAT_ARGB4444
field_3044,SDL_PIXELFORMAT_RGBA4444
field_3045,SDL_PIXELFORMAT_ABGR4444
field_3046,SDL_PIXELFORMAT_BGRA4444
field_3047,SDL_PIXELFORMAT_ARGB1555
field_3048,SDL_PIXELFORMAT_RGBA5551
field_3049,SDL_PIXELFORMAT_ABGR1555
field_3050,SDL_PIXELFORMAT_BGRA5551
field_3051,SDL_PIXELFORMAT_RGB565
field_3052,SDL_PIXELFORMAT_BGR565
field_3053,SDL_PIXELFORMAT_RGB24
field_3054,SDL_PIXELFORMAT_BGR24
field_3055,SDL_PIXELFORMAT_RGB888
field_3056,SDL_PIXELFORMAT_RGBX8888
field_3057,SDL_PIXELFORMAT_BGR888
field_3058,SDL_PIXELFORMAT_BGRX8888
field_3059,SDL_PIXELFORMAT_ARGB8888
field_3060,SDL_PIXELFORMAT_RGBA8888
field_3061,SDL_PIXELFORMAT_ABGR8888
field_3062,SDL_PIXELFORMAT_BGRA8888
field_3063,SDL_PIXELFORMAT_ARGB2101010
field_3064,SDL_PIXELFORMAT_YV12
field_3065,SDL_PIXELFORMAT_IYUV
field_3066,SDL_PIXELFORMAT_YUY2
field_3067,SDL_PIXELFORMAT_UYVY
field_3068,SDL_PIXELFORMAT_YVYU
field_3069,SDL_SWSURFACE
field_3070,SDL_PREALLOC
field_3071,SDL_RLEACCEL
field_3072,SDL_DONTFREE
field_3073,SDL_PRESSED
field_3074,SDL_RELEASED
field_3075,SDL_TEXTEDITINGEVENT_TEXT_SIZE
field_3076,SDL_TEXTINPUTEVENT_TEXT_SIZE
field_3077,SDL_QUERY
field_3078,SDL_IGNORE
field_3079,SDL_DISABLE
field_3080,SDL_ENABLE
field_3081,SDLK_SCANCODE_MASK
field_3082,SDL_BUTTON_LEFT
field_3083,SDL_BUTTON_MIDDLE
field_3084,SDL_BUTTON_RIGHT
field_3085,SDL_BUTTON_X1
field_3086,SDL_BUTTON_X2
field_3087,SDL_BUTTON_LMASK
field_3088,SDL_BUTTON_MMASK
field_3089,SDL_BUTTON_RMASK
field_3090,SDL_BUTTON_X1MASK
field_3091,SDL_BUTTON_X2MASK
field_3092,SDL_TOUCH_MOUSEID
field_3093,SDL_HAT_CENTERED
field_3094,SDL_HAT_UP
field_3095,SDL_HAT_RIGHT
field_3096,SDL_HAT_DOWN
field_3097,SDL_HAT_LEFT
field_3098,SDL_HAT_RIGHTUP
field_3099,SDL_HAT_RIGHTDOWN
field_3100,SDL_HAT_LEFTUP
field_3101,SDL_HAT_LEFTDOWN
field_3102,SDL_HAPTIC_CONSTANT
field_3103,SDL_HAPTIC_SINE
field_3104,SDL_HAPTIC_LEFTRIGHT
field_3105,SDL_HAPTIC_TRIANGLE
field_3106,SDL_HAPTIC_SAWTOOTHUP
field_3107,SDL_HAPTIC_SAWTOOTHDOWN
field_3108,SDL_HAPTIC_SPRING
field_3109,SDL_HAPTIC_DAMPER
field_3110,SDL_HAPTIC_INERTIA
field_3111,SDL_HAPTIC_FRICTION
field_3112,SDL_HAPTIC_CUSTOM
field_3113,SDL_HAPTIC_GAIN
field_3114,SDL_HAPTIC_AUTOCENTER
field_3115,SDL_HAPTIC_STATUS
field_3116,SDL_HAPTIC_PAUSE
field_3117,SDL_HAPTIC_POLAR
field_3118,SDL_HAPTIC_CARTESIAN
field_3119,SDL_HAPTIC_SPHERICAL
field_3120,SDL_HAPTIC_INFINITY
field_3121,SDL_AUDIO_MASK_BITSIZE
field_3122,SDL_AUDIO_MASK_DATATYPE
field_3123,SDL_AUDIO_MASK_ENDIAN
field_3124,SDL_AUDIO_MASK_SIGNED
field_3125,AUDIO_U8
field_3126,AUDIO_S8
field_3127,AUDIO_U16LSB
field_3128,AUDIO_S16LSB
field_3129,AUDIO_U16MSB
field_3130,AUDIO_S16MSB
field_3131,AUDIO_U16
field_3132,AUDIO_S16
field_3133,AUDIO_S32LSB
field_3134,AUDIO_S32MSB
field_3135,AUDIO_S32
field_3136,AUDIO_F32LSB
field_3137,AUDIO_F32MSB
field_3138,AUDIO_F32
field_3139,AUDIO_U16SYS
field_3140,AUDIO_S16SYS
field_3141,AUDIO_S32SYS
field_3142,AUDIO_F32SYS
field_3143,SDL_AUDIO_ALLOW_FREQUENCY_CHANGE
field_3144,SDL_AUDIO_ALLOW_FORMAT_CHANGE
field_3145,SDL_AUDIO_ALLOW_CHANNELS_CHANGE
field_3146,SDL_AUDIO_ALLOW_ANY_CHANGE
field_3147,SDL_MIX_MAXVOLUME
